Date,Open,High,Low,Close,Volume,,,,,,,
23-12-2019,264.4,270.6,262.4,263.7,8467465,,,,,,,
24-12-2019,263.7,267.8,262.95,266.75,5683009,,,,,,,
26-12-2019,267,272,266.7,269.15,11054938,,,,,,,
27-12-2019,270.1,271.3,265.1,268.9,7560504,,,,,,,
30-12-2019,269.5,273.5,266.6,271.1,6645670,,,,,,,
31-12-2019,270,273,268.15,270.05,5377354,,,,,,,
01-01-2020,270.7,273.5,265.85,268.1,6952048,,,,,,,
02-01-2020,272,277,271.55,276.45,10780926,,,,,,,
03-01-2020,276.45,276.45,270.75,272.45,5943349,,,,,,,
06-01-2020,270.5,270.75,262.3,264.25,4529599,,,,,,,
07-01-2020,266.15,270.15,263.1,265.25,4465297,,,,,,,
08-01-2020,261.4,264.5,257,262.5,8088132,,,,,,,
09-01-2020,267.7,279.2,267.7,278.1,13317832,,,,,,,
10-01-2020,278,280,275,277.9,7625227,,,,,,,
13-01-2020,278.05,279.9,275.4,278.6,4540953,,,,,,,
14-01-2020,278,284,278,280.9,7428691,,,,,,,
15-01-2020,279.85,283.4,276.25,282.5,5538475,,,,,,,
16-01-2020,282.5,282.85,276.15,277.45,4791447,,,,,,,
17-01-2020,276.8,279.55,272.85,273.35,4733742,,,,,,,
20-01-2020,273.5,275,268.65,271.35,3823115,,,,,,,
21-01-2020,270,270.9,264.35,267.25,4799667,,,,,,,
22-01-2020,268.3,269.3,264.75,265.85,3334351,,,,,,,
23-01-2020,266,268.95,264.1,266.65,3529142,,,,,,,
24-01-2020,266.7,273.9,265.3,271.9,5991335,,,,,,,
27-01-2020,265.45,265.9,258.3,262.8,17151836,,,,,,,
28-01-2020,260.8,261.75,251.6,255.25,11168567,,,,,,,
29-01-2020,259,264.6,258.3,261.25,7832991,,,,,,,
30-01-2020,261.3,262.1,255.25,256.95,5511254,,,,,,,
31-01-2020,258.15,259,249.1,250.7,6329214,,,,,,,
03-02-2020,245.5,253,243.75,251.5,7021154,,,,,,,
04-02-2020,253.25,259.7,248.7,258.35,5839343,,,,,,,
05-02-2020,259.5,271.65,256.35,269.25,7218905,,,,,,,
06-02-2020,271.1,277.5,267.75,276.45,8567243,,,,,,,
07-02-2020,275.4,280,272.75,279.3,5258442,,,,,,,
10-02-2020,276,279.8,273.2,277.9,4972983,,,,,,,
11-02-2020,280.05,293.5,278.6,288.75,10958494,,,,,,,
12-02-2020,288.65,295.4,288.5,293.7,9119052,,,,,,,
13-02-2020,292.2,294.6,288.4,293.35,6220243,,,,,,,
14-02-2020,291.6,296.75,288.3,289.15,6086218,,,,,,,
17-02-2020,289.15,290.9,285.3,288.15,6084235,,,,,,,
18-02-2020,289,289.15,281.1,284.8,5463097,,,,,,,
19-02-2020,287.2,290,279.9,280.85,4952306,,,,,,,
20-02-2020,280.7,285.85,277,281.8,6960354,,,,,,,
24-02-2020,277.95,277.95,256,258.95,10565578,,,,,,,
25-02-2020,264,266.8,258.4,262.6,9928181,,,,,,,
26-02-2020,256,263.7,255.55,260.8,8111249,,,,,,,
27-02-2020,259,259,248.3,252.1,10258174,,,,,,,
28-02-2020,245.5,245.5,232.65,235.7,10723581,,,,,,,
02-03-2020,242.2,246.5,230.85,235,10865535,,,,,,,
03-03-2020,239.25,249.1,238.65,246.45,11580274,,,,,,,
04-03-2020,246.55,248.8,236.85,245.6,10790561,,,,,,,
05-03-2020,248.7,252.75,244.35,247.15,7130730,,,,,,,
06-03-2020,235,240,228.2,238.8,6850161,,,,,,,
09-03-2020,229.05,231.65,225.1,229.05,7887800,,,,,,,
11-03-2020,227,228.5,220.1,223.5,10073340,,,,,,,
12-03-2020,210,214.3,199.05,203.2,14114986,,,,,,,
13-03-2020,188,217.95,175.2,214.9,12881845,,,,,,,
16-03-2020,202,207.15,181.55,186,15167010,,,,,,,
17-03-2020,188.9,193.5,175.15,176.45,14096751,,,,,,,
18-03-2020,180.05,181.15,156.45,164.35,18950973,,,,,,,
19-03-2020,157.8,168.7,151.7,163.3,12583063,,,,,,,
20-03-2020,167,179.1,164.65,175.75,7449395,,,,,,,
23-03-2020,158.2,164.25,136.1,144.4,7422289,,,,,,,
24-03-2020,149.25,155,140.35,147.1,6486510,,,,,,,
25-03-2020,145,156,142.55,151.8,4384696,,,,,,,
26-03-2020,151,157.45,144.5,149.8,8021051,,,,,,,
27-03-2020,152.1,156.45,146.2,151.45,6108830,,,,,,,
30-03-2020,148.45,148.45,136.5,142.4,11851147,,,,,,,
31-03-2020,145.95,152.4,144.5,146.25,9965166,,,,,,,
01-04-2020,145.95,145.95,139.05,143,5967259,,,,,,,
03-04-2020,143.25,148.15,132.5,140.7,18559502,,,,,,,
07-04-2020,148.05,159.85,145.45,158.1,16436897,,,,,,,
08-04-2020,155,170.75,152.15,154.6,15245833,,,,,,,
09-04-2020,159,170,158,166.3,15243024,,,,,,,
13-04-2020,167.5,172.4,161.15,167.65,11554107,,,,,,,
15-04-2020,170,174.95,165.85,171.4,17616469,,,,,,,
16-04-2020,169.3,174.6,167.4,170.65,10428942,,,,,,,
17-04-2020,175,179.85,170.35,177.3,10104652,,,,,,,
20-04-2020,183,183,166.1,167.5,12628134,,,,,,,
21-04-2020,164,164.4,156.8,159.6,10887272,,,,,,,
22-04-2020,158,163,155.5,161.2,7765194,,,,,,,
23-04-2020,162.4,166.3,158.7,159.95,7114844,,,,,,,
24-04-2020,157.5,159.5,152.6,153.25,8446858,,,,,,,
